variant | clip | hsv | edge_delta | warm_delta | light_delta | lum_delta | file
B5.png | 0.8314 | 0.1959 | 0.0329 | 0.0048 | 0.011 | 0.0441 | tid-B5.png
G2.png | 0.8134 | 0.3948 | 0.0183 | 0.0052 | 0.1352 | 0.12 | tid-G2.png
C.png | 0.7944 | 0.2849 | 0.0091 | 0.0235 | 0.1403 | 0.125 | tid-C.png
B1.png | 0.789 | 0.1055 | 0.0389 | 0.0251 | 0.1265 | 0.0181 | tid-B1.png
G1.png | 0.7882 | 0.2869 | 0.0119 | 0.0147 | 0.1179 | 0.1168 | tid-G1.png
G3.png | 0.7832 | 0.2579 | 0.0526 | 0.0064 | 0.0147 | 0.0361 | tid-G3.png
C2.png | 0.7757 | 0.3186 | 0.0225 | 0.0275 | 0.143 | 0.1275 | tid-C2.png
B3.png | 0.7751 | 0.214 | 0.0336 | 0.0075 | 0.0371 | 0.0203 | tid-B3.png
B2.png | 0.7682 | 0.0572 | 0.0537 | 0.0249 | 0.1596 | 0.0112 | tid-B2.png
A1_run2.png | 0.7567 | 0.0964 | 0.042 | 0.0343 | 0.1541 | 0.0003 | tid-A1_run2.png
H1_32k_run2.png | 0.7387 | 0.1466 | 0.0137 | 0.0377 | 0.0013 | 0.0325 | tid-H1_32k_run2.png
B4.png | 0.7363 | 0.2735 | 0.0291 | 0.0043 | 0.0134 | 0.0565 | tid-B4.png
A1.png | 0.7328 | 0.0151 | 0.0787 | 0.1922 | 0.2283 | 0.0107 | tid-A1.png
H1_32k.png | 0.7281 | 0.0328 | 0.0195 | 0.0095 | 0.173 | 0.0284 | tid-H1_32k.png
G4_calibrated_no_ref.png | 0.7218 | 0.2001 | 0.0228 | 0.0091 | 0.01 | 0.0626 | tid-G4_calibrated_no_ref.png
E1.png | 0.7212 | 0.0581 | 0.0013 | 0.0412 | 0.0602 | 0.076 | tid-E1.png
A2.png | 0.6583 | 0.1332 | 0.0179 | 0.0169 | 0.128 | 0.0008 | tid-A2.png
D.png | 0.5307 | 0.0184 | 0.0229 | 0.0128 | 0.2828 | 0.0386 | tid-D.png
